pdb_id,score
6X18,1.0
6X19,0.9933248359959627
6X1A,0.9933248359959627
1XNL,0.9786014362198274
2LTI,0.9737195438394036
5MXL,0.9686418899445803
5MXS,0.9686418899445803
5MXT,0.9686418899445803
6Q1X,0.9648275346118756
1D6X,0.9643721634717448
6JX3,0.963555759517143
6MW6,0.9487882902057756
1NKF,0.9486201090512246
1T0C,0.94701530321991
7BW5,0.9453326060665151
4I4W,0.9390129503706185
1DIP,0.9264280827778533
5V1E,0.9220119358013567
1AML,0.9203508306116354
1YT6,0.9159255323536598
1FUL,0.9056014530042055
1FUV,0.9056014530042055
1PBZ,0.9044341796399084
2DEF,0.8992223772364024
1QCM,0.8973097594073276
1IRR,0.8972916677033902
2IGR,0.8937572066341646
6S0N,0.8893667422863342
1JYI,0.8855652915256687
1Z65,0.8845278651460413
7K1M,0.8845112072834416
6CHC,0.8823692591839435
2LG4,0.8803878591424633
2L87,0.8785782670306824
1ZTA,0.877223835200012
1IMW,0.8751783761881801
5YKK,0.8745486246383029
1IGF,0.8740387253555357
2IGF,0.8740387253555357
2MN3,0.8733216359994713
2L1Q,0.8728350577243436
6RQS,0.8706018920126856
2LWQ,0.8698587826535225
2LWS,0.8698587826535225
2LWT,0.8698587826535225
2LWU,0.8698587826535225
2LWV,0.8698587826535225
2BBM,0.8680108563718603
2BBN,0.8680108563718603
1MWN,0.8666899932972134
5JPL,0.8658689082723621
6WQR,0.8642189786107141
1ZY3,0.8638032911381942
6WL8,0.8632758483849422
6DZ9,0.863194541146734
6DZA,0.863194541146734
6DZB,0.863194541146734
6DZC,0.863194541146734
6DZE,0.863194541146734
1G5J,0.8624862235259121
1WBR,0.8624858018078714
2M6A,0.862392349090097
1DFF,0.8619441471566547
2RPW,0.8619128556780495
4GLY,0.8602935427461419
1AMB,0.8599863211536384
1AMC,0.8599863211536384
1HRL,0.8596076605250744
6P9X,0.8593802701576374
1DDM,0.857858458436693
5ZCN,0.8576036563966234
2KP8,0.8572549377489349
1B0Q,0.8571347481073927
2M32,0.8557162151345664
1KV4,0.855498650797473
2FLY,0.8550815716554195
1JJZ,0.8544806234477087
1K48,0.8544806234477087
1B8W,0.8536950049100631
5W54,0.8529117058216404
2RSW,0.8527075099464309
2RLG,0.8520823551231952
2RLH,0.8520823551231952
2LQ2,0.8515750283204749
1DJF,0.8501925522401114
1DN3,0.8501925522401114
1DNG,0.8501925522401114
1FOZ,0.8494478825241984
1CIX,0.8487773086680009
7ALD,0.848263318720241
6POR,0.8481245734849168
1E0Q,0.8466653447211824
1FRG,0.8458279392081636
1VTP,0.8453142022912278
6IMG,0.8449336439314816
6IMH,0.8449336439314816
6WHC,0.8440120213257751
2ITK,0.8438995491243741
2Q5A,0.8438995491243741
1B1V,0.8435120745887638
1B5N,0.8435120745887638
1G89,0.8434610888776674
6WL9,0.8430892600813595
7M5M,0.8420718653086559
2LQ0,0.8419779908728408
2LQ1,0.8419779908728408
2MIX,0.8418917073617547
1BXP,0.8413297680727899
2LAQ,0.8410922564723808
2LIY,0.8407192468655595
2NMB,0.8402959684683109
1GJE,0.8397444456149463
5YKQ,0.8391147362368733
1B03,0.8389616525881721
6WQJ,0.8388868398077877
2MR7,0.8381973308115718
2MR8,0.8381973308115718
1CGD,0.8381064505738444
1MXQ,0.8380808101169821
2M55,0.8364762573164917
1XKM,0.8359208968289586
1QG1,0.8358919669713805
1QXQ,0.8345542773469179
6CGW,0.8337115581865888
1PMX,0.8335312315524714
2JNR,0.833525032297276
2Z3L,0.8333956913742551
2Z3N,0.8333956913742551
2BTX,0.8316414708411918
5VFW,0.8314891041131593
2MJ1,0.8313412075963564
1ZFU,0.8312367058659208
2RRH,0.8305184778711471
2DX2,0.8302470179684779
6TDR,0.8299088000999978
1G8C,0.8293754111223747
2LB7,0.8292802715324381
7NQK,0.8292165499365187
2LWA,0.8288305935858541
6AK0,0.8276954551362432
1XV4,0.8270145070162496
1XV7,0.8270145070162496
1ABT,0.8267856828074749
5VAV,0.826479852884505
6WKX,0.8263628261282665
6WKY,0.8263628261282665
6WL1,0.8263628261282665
6WL7,0.8263628261282665
2MFS,0.8261962475022695
1Q5L,0.8261802222167305
1QX9,0.8258167012658204
1H3H,0.8254166595326032
5D0J,0.8253412141751578
2L6S,0.8242308727463282
2L6T,0.8242308727463282
1DEF,0.8238020698427488
2LCS,0.8227035786908573
1BCV,0.8224886711774191
6WQL,0.8221603636828906
1IN2,0.8214098742580188
1IN3,0.8214098742580188
2RRI,0.820921566938925
1U62,0.8202609878002874
6WPB,0.8196739141161089
6WPD,0.8196739141161089
6WL0,0.8190305832453277
2MUJ,0.8184214537076311
6TDS,0.8178841849240356
7M5L,0.8172275699349787
7M5N,0.8172275699349787
1A38,0.8157778719989595
5W96,0.8147560913586347
2M3N,0.8147441145662845
1KAT,0.8146307145851943
1KCR,0.814316028583374
1LD9,0.8141530767325252
